num	length	volu	weight(kg)	º¬¶þÆÚ
1	8	9.563	75069.55	88582.069
2	8	9.563	75069.55	88582.069
3	8	9.563	75069.55	88582.069
4	8	9.563	75069.55	88582.069
5	8	9.563	75069.55	88582.069
6	8	9.563	75069.55	88582.069
7	8	9.563	75069.55	88582.069
8	8	9.563	75069.55	88582.069
9	6	7.172	56300.2	66434.236
10	9	10.758	84450.3	99651.354
11	7.5	8.965	70375.25	83042.795
12	7.5	8.965	70375.25	83042.795
13	7.5	8.965	70375.25	83042.795
14	7.5	8.965	70375.25	83042.795
15	7.5	8.965	70375.25	83042.795
16	7.5	8.965	70375.25	83042.795
17	7.5	8.965	70375.25	83042.795
18	7.5	8.965	70375.25	83042.795
19	7.5	8.965	70375.25	83042.795
20	7.5	8.965	70375.25	83042.795
21	7.5	8.965	70375.25	83042.795
22	7.5	8.965	70375.25	83042.795
23	7.5	8.965	70375.25	83042.795
24	7.5	8.965	70375.25	83042.795
25	7.5	8.965	70375.25	83042.795
26	7.5	8.965	70375.25	83042.795
27	7.5	8.965	70375.25	83042.795
28	7.5	8.965	70375.25	83042.795
29	7.5	8.965	70375.25	83042.795
30	7.5	8.965	70375.25	83042.795
31	6	7.172	56300.2	66434.236
32	6	7.172	56300.2	66434.236
33	6	7.172	56300.2	66434.236
34	7	8.368	65688.8	77512.784
35	8	9.563	75069.55	88582.069
36	8	9.563	75069.55	88582.069
37	8	9.563	75069.55	88582.069
38	8	9.563	75069.55	88582.069
39	7	8.368	65688.8	77512.784
40	6	7.172	56300.2	66434.236
41	6	7.172	56300.2	66434.236
42	6	7.172	56300.2	66434.236
43	7.5	8.965	70375.25	83042.795
44	7.5	8.965	70375.25	83042.795
45	7.5	8.965	70375.25	83042.795
46	7.5	8.965	70375.25	83042.795
47	7.5	8.965	70375.25	83042.795
48	7.5	8.965	70375.25	83042.795
49	7.5	8.965	70375.25	83042.795
50	7.5	8.965	70375.25	83042.795
51	7.5	8.965	70375.25	83042.795
52	7.5	8.965	70375.25	83042.795
53	7.5	8.965	70375.25	83042.795
54	7.5	8.965	70375.25	83042.795
55	7.5	8.965	70375.25	83042.795
56	7.5	8.965	70375.25	83042.795
57	7.5	8.965	70375.25	83042.795
58	7.5	8.965	70375.25	83042.795
59	7.5	8.965	70375.25	83042.795
60	7.5	8.965	70375.25	83042.795
61	7.5	8.965	70375.25	83042.795
62	7.5	8.965	70375.25	83042.795
63	7.5	8.965	70375.25	83042.795
64	7.5	8.965	70375.25	83042.795
65	8	9.563	75069.55	88582.069
66	8	9.563	75069.55	88582.069
67	7.5	8.965	70375.25	83042.795
68	7.5	8.965	70375.25	83042.795
69	7.5	8.965	70375.25	83042.795
70	7.5	8.965	70375.25	83042.795
71	7.5	8.965	70375.25	83042.795
72	7.5	8.965	70375.25	83042.795
73	7.5	8.965	70375.25	83042.795
74	7.5	8.965	70375.25	83042.795
75	7.5	8.965	70375.25	83042.795
76	7.5	8.965	70375.25	83042.795
77	7.5	8.965	70375.25	83042.795
78	7.5	8.965	70375.25	83042.795
79	7.5	8.965	70375.25	83042.795
80	7.5	8.965	70375.25	83042.795
81	7.5	8.965	70375.25	83042.795
82	7.5	8.965	70375.25	83042.795
83	7.5	8.965	70375.25	83042.795
84	7.5	8.965	70375.25	83042.795
85	7.5	8.965	70375.25	83042.795
86	7.5	8.965	70375.25	83042.795
87	7.5	8.965	70375.25	83042.795
88	7.5	8.965	70375.25	83042.795
89	6	7.172	56300.2	66434.236
90	6	7.172	56300.2	66434.236
91	6	7.172	56300.2	66434.236
92	7	8.368	65688.8	77512.784
93	8	9.563	75069.55	88582.069
94	8	9.563	75069.55	88582.069
95	8	9.563	75069.55	88582.069
96	8	9.563	75069.55	88582.069
97	7	8.368	65688.8	77512.784
98	6	7.172	56300.2	66434.236
99	6	7.172	56300.2	66434.236
6	7.172		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
8	9.563		0	0
8	9.563		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7	8.368		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
7	8.368		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
8	9.563		0	0
8	9.563		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7	8.368		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
7	8.368		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
8	9.563		0	0
8	9.563		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7	8.368		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
7	8.368		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
8	9.563		0	0
8	9.563		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7	8.368		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
8	9.563		0	0
7	8.368		0	0
6	7.172		0	0
6	7.172		0	0
6	7.172		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
7.5	8.965		0	0
