0	    1	     2  3 	4	5
1	-1070	-49.72	0	1	0
2	-1070	-41.72	0	3	16
3	-1070	-33.72	0	3	15
4	-1070	-25.72	0	3	14
5	-1070	-17.72	0	3	13
6	-1070	-9.72	0	3	12
7	-1070	0	0	3	12
8	-1070	8	0	3	11
9	-1070	16	0	3	11
10	-1070	24	0	3	10
11	-1070	32	0	3	10
12	-1070	40	0	3	10
13	-1070	48	0	3	9
14	-1070	56	0	3	9
15	-1070	64	0	3	9
16	-1070	72	0	3	8
17	-1070	80	0	3	8
18	-1070	88.89	0	2	8
19	-1070	90.09	0	2	7
20	-1070	93.59	0	2	6
21	-1070	95.69	0	2	5
22	-1070	97.79	0	2	5
23	-1070	99.64	0	2	4
24	-1070	101.49	0	2	4
25	-1070	103.34	0	2	3
26	-1070	105.19	0	2	3
27	-1070	107.04	0	2	2
28	-1070	108.89	0	2	2
29	-1070	110.74	0	2	2
30	-1070	113.74	0	3	1
