0 1 2 3 4 5 6 7 8
01 81.996 	619.297 	475.816 	1017.870 	8.800 	10.000 	0.000 	213.957 
02 46.382 	627.776 	373.331 	846.951 	8.800 	10.730 	0.000 	189.628 
03 49.911 	623.380 	431.228 	943.371 	8.800 	10.830 	0.000 	161.128 
04 49.916 	623.388 	431.228 	943.336 	8.800 	10.830 	0.000 	134.946 
05 55.646 	710.285 	453.260 	1030.645 	8.800 	11.020 	0.000 	110.998 
06 55.640 	710.233 	453.186 	1030.514 	8.800 	11.020 	0.000 	92.131  
07 48.108 	660.980 	413.772 	944.049 	8.800 	11.070 	0.000 	70.602  
08 48.639 	692.148 	421.104 	970.553 	8.800 	11.260 	0.000 	48.936  
09 53.968 	1054.606 	494.920 	1241.066 	8.800 	13.170 	0.000 	26.146  
10 79.500 	1522.137 	626.779 	1640.344 	8.800 	13.800 	0.000 	0.000   
11 53.302 	1485.101 	999.969 	2174.257 	11.500 	16.000 	57.033 	213.957 
12 94.369 	2572.025 	1387.095 	3382.414 	11.500 	16.000 	57.033 	189.628 
13 76.709 	2327.760 	1268.600 	3062.762 	11.750 	16.200 	57.033 	161.128 
14 109.047 	3283.963 	2096.059 	4486.249 	13.250 	17.400 	57.033 	110.998 
15 132.094 	4023.802 	2548.500 	5563.804 	13.500 	17.600 	57.033 	70.602  
16 239.558 	5994.022 	3622.098 	8379.366 	14.000 	18.000 	57.033 	0.000   
17 1.1954 	2.9869 	  62.8396 	8.1235 	  22.9500 4.0000 	0.7008 	-0.2513                  
18 0.3270 	0.8365 	  0.4877 	  0.7387 	  4.0400 	3.1000 	16.1508 -0.5755                    
